doc_id	variant	group_id	chain_id	link	shift	length	content	tk_shifts	attributes	head	hd_shifts
1	1	407894	1068	407891	2162	5	Дверь	2162	ref:def|str:noun|type:coref		
1	1	407895	1063	407880	2179	65	Высокий человек , с румяным лицом , русой бородой и нависшими усами	2179,2187,2194,2196,2198,2206,2211,2213,2219,2227,2229,2239	ref:def|str:noun|type:coref	человек	2187
1	1	407896	1063	407895	2297	2	он	2297	ref:def|str:pron|type:coref		
1	1	407897	1063	407896	2301	16	профессор Вагнер	2301,2311	ref:def|str:noun|type:coref	профессор Вагнер	2301,2311
1	1	407898	1063	407897	2354	2	он	2354	ref:def|str:pron|type:coref		
1	1	407900	1060	0	2399	25	небольшой горной площадки	2399,2409,2416	ref:def|str:noun|type:coref	площадки	2416
1	1	407899	1070	407893	2485	4	меня	2485	ref:def|str:pron|type:coref		
1	1	407901	1060	407900	2507	8	площадке	2507	ref:def|str:noun|type:coref		
1	1	407903	1059	0	2532	24	камни различной величины	2532,2538,2548	ref:def|str:noun|type:anaph	камни	2532
1	1	407902	1063	407898	2558	6	Вагнер	2558	ref:def|str:noun|type:coref		
1	1	407904	1059	407903	2576	3	ним	2576	ref:def|str:pron|type:anaph		
1	1	407905	1059	407904	2604	2	их	2604	ref:def|str:pron|type:anaph		
1	1	407906	1058	0	2676	5	камни	2676	ref:def|str:noun|type:anaph		
1	1	407907	1058	407906	2690	3	они	2690	ref:def|str:pron|type:anaph		
1	1	407908	1058	407907	2777	2	их	2777	ref:def|str:pron|type:anaph		
1	1	407909	1070	407899	2823	1	я	2823	ref:def|str:pron|type:coref		
1	1	407910	1070	407909	2834	1	я	2834	ref:def|str:pron|type:coref		
1	1	407911	1063	407902	2926	16	профессор Вагнер	2926,2936	ref:def|str:noun|type:coref	профессор Вагнер	2926,2936
1	1	407912	1057	0	2953	23	огромному обломку скалы	2953,2963,2971	ref:def|str:noun|type:coref	обломку	2963
1	1	407913	1057	407912	3056	7	обломок	3056	ref:def|str:noun|type:coref		
1	1	407914	1063	407911	3132	2	он	3132	ref:def|str:pron|type:coref		
1	1	407915	1057	407913	3156	19	этим обломком скалы	3156,3161,3170	ref:def|str:noun|type:coref	обломком	3161
1	1	407916	1070	407910	3177	1	Я	3177	ref:def|str:pron|type:coref		
1	1	407917	1063	407914	3206	6	Вагнер	3206	ref:def|str:noun|type:coref		
1	1	407918	1063	407917	3265	2	он	3265	ref:def|str:pron|type:coref		
1	1	407919	1070	407916	3320	1	Я	3320	ref:def|str:pron|type:coref		
1	1	407920	1070	407919	3340	4	свою	3340	ref:def|str:refl|type:coref		
1	1	407921	1063	407918	3368	7	Вагнера	3368	ref:def|str:noun|type:coref		
1	1	407922	1070	407920	3395	4	меня	3395	ref:def|str:pron|type:coref		
1	1	407923	1063	407921	3401	6	Вагнер	3401	ref:def|str:noun|type:coref		
1	1	407924	1057	407915	3415	5	глыбу	3415	ref:def|str:noun|type:coref		
1	1	407925	1057	407924	3453	3	она	3453	ref:def|str:pron|type:coref		
1	1	407926	1070	407922	3529	1	я	3529	ref:def|str:pron|type:coref		
1	1	407927	1057	407925	3544	9	эта глыба	3544,3548	ref:def|str:noun|type:coref	глыба	3548
1	1	407928	1057	407927	3567	7	обломок	3567	ref:def|str:noun|type:coref		
1	1	407929	1070	407926	3608	1	Я	3608	ref:def|str:pron|type:coref		
1	1	407930	1057	407928	3645	5	глыба	3645	ref:def|str:noun|type:coref		
1	1	407931	1057	407930	3677	3	она	3677	ref:def|str:pron|type:coref		
1	1	407932	1063	407923	3728	6	Вагнер	3728	ref:def|str:noun|type:coref		
1	1	407849	1066	0	3745	4	руку	3745	ref:def|str:noun|type:coref		
1	1	407933	1057	407931	3768	5	глыбу	3768	ref:def|str:noun|type:coref		
1	1	407976	1066	407849	3782	4	рука	3782	ref:def|str:noun|type:coref		
1	1	407934	1063	407932	3787	3	его	3787	ref:def|str:poss|type:coref		
1	1	407935	1063	407934	3847	6	Вагнер	3847	ref:def|str:noun|type:coref		
1	1	407936	1063	407935	3876	4	себя	3876	ref:def|str:refl|type:coref		
1	1	407937	1057	407933	3881	5	глыбу	3881	ref:def|str:noun|type:coref		
1	1	407938	1057	407937	3888	3	Она	3888	ref:def|str:noun|type:coref		
1	1	407939	1063	407936	4073	6	Вагнер	4073	ref:def|str:noun|type:coref		
1	1	407940	1063	407939	4137	2	он	4137	ref:def|str:pron|type:coref		
1	1	407945	1060	407901	4155	8	площадки	4155	ref:def|str:noun|type:coref		
1	1	407941	1070	407929	4166	3	мою	4166	ref:def|str:poss|type:coref		
1	1	407942	1063	407940	4179	2	Он	4179	ref:def|str:pron|type:coref		
1	1	407943	1063	407942	4224	3	ним	4224	ref:def|str:pron|type:coref		
1	1	407944	1057	407938	4264	6	глыбой	4264	ref:def|str:noun|type:coref		
1	1	407946	1063	407943	4283	2	он	4283	ref:def|str:pron|type:coref		
1	1	407947	1063	407946	4331	2	он	4331	ref:def|str:pron|type:coref		
1	1	407948	1063	407947	4340	6	Вагнер	4340	ref:def|str:noun|type:coref		
1	1	407949	1063	407948	4380	2	Он	4380	ref:def|str:pron|type:coref		
1	1	407950	1070	407941	4402	4	меня	4402	ref:def|str:pron|type:coref		
1	1	407958	1055	407963	4426	19	можжевелового куста	4426,4440	ref:def|str:noun|type:coref	куста	4440
1	1	407961	1056	0	4485	6	колено	4485	ref:def|str:noun|type:coref		
1	1	407962	1056	407961	4502	16	ушибленное место	4502,4513	ref:def|str:noun|type:coref	место	4513
1	1	407951	1063	407949	4520	2	он	4520	ref:def|str:pron|type:coref		
1	1	407952	1070	407950	4590	1	я	4590	ref:def|str:pron|type:coref		
1	1	407953	1070	407952	4609	4	свое	4609	ref:def|str:refl|type:coref		
1	1	407954	1063	407951	4635	3	ему	4635	ref:def|str:pron|type:coref		
1	1	407955	1063	407954	4650	2	Вы	4650	ref:ds|str:pron|type:coref		
1	1	407956	1063	407954	4684	3	вам	4684	ref:ds|str:pron|type:coref		
1	1	407957	1070	407953	4698	1	я	4698	ref:def|str:pron|type:coref		
1	1	407959	1055	407958	4711	5	куста	4711	ref:def|str:noun|type:coref		
1	1	407960	1070	407957	4731	3	мое	4731	ref:def|str:poss|type:coref		
1	1	407964	1063	407956	4756	10	профессора	4756	ref:def|str:noun|type:coref		
1	1	407965	1063	407964	4784	2	он	4784	ref:def|str:pron|type:coref		
1	1	407967	1070	407960	4827	4	вас,	4827	ref:ds|str:pron|type:coref		
1	1	407968	1063	407965	4849	3	он,	4849	ref:def|str:pron|type:coref		
1	1	407966	1063	407968	4853	1	я	4853	ref:ds|str:pron|type:coref		
1	1	407969	1063	407966	4869	2	он	4869	ref:def|str:pron|type:coref		
1	1	407970	1063	407969	4906	3	его	4906	ref:def|str:poss|type:coref		
1	1	407971	1063	407970	4930	2	Он	4930	ref:def|str:pron|type:coref		
1	1	407972	1056	407962	4962	6	колене	4962	ref:def|str:noun|type:coref		
1	1	407973	1063	407971	5025	3	ему	5025	ref:def|str:pron|type:coref		
1	1	407974	1070	407967	5044	1	я	5044	ref:def|str:pron|type:coref		
2	1	407977	1053	0	16	15	Елена Сергеевна	16,22	ref:def|str:noun|type:coref	Елена Сергеевна	16,22
2	1	407978	1053	407977	38	18	Старая учительница	38,45	ref:def|str:noun|type:coref	учительница	45
2	1	407979	1053	407978	91	3	нею	91	ref:def|str:pron|type:coref		
2	1	407983	1052	0	101	25	невысокий молодой человек	101,111,119	ref:def|str:noun|type:coref	молодой человек	111,119
2	1	407980	1052	407983	128	2	Он	128	ref:def|str:pron|type:coref		
2	1	407981	1053	407979	142	3	нее	142	ref:def|str:pron|type:coref		
2	1	407982	1053	407981	167	3	она	167	ref:def|str:pron|type:coref		
2	1	407984	1052	407980	233	3	его	233	ref:def|str:pron|type:coref		
2	1	407985	1052	407983	243	9	Дементьев	243	ref:ds|str:noun|type:coref		
2	1	407986	1053	407979	264	3	она	264	ref:def|str:pron|type:coref		
2	1	407987	1052	407985	280	2	Ты	280	ref:ds|str:pron|type:coref		
2	1	407988	1052	407985	300	1	я	300	ref:ds|str:pron|type:coref		
2	1	407989	1052	407988	312	7	человек	312	ref:def|str:noun|type:coref		
2	1	407990	1053	407986	339	3	Она	339	ref:def|str:pron|type:coref		
2	1	407991	1052	407989	354	2	он	354	ref:def|str:pron|type:coref		
2	1	407992	1053	407990	372	3	нею	372	ref:def|str:pron|type:coref		
2	1	407993	1052	407991	389	2	ты	389	ref:ds|str:pron|type:coref		
2	1	407994	1052	407993	403	9	Дементьев	403	ref:ds|str:noun|type:coref		
2	1	407995	1052	407994	444	2	он	444	ref:def|str:pron|type:coref		
2	1	407996	1052	407995	460	1	Я	460	ref:ds|str:pron|type:coref		
2	1	407997	1052	407996	462	5	актер	462	ref:pred|str:noun|type:coref		
2	1	407998	1053	407990	549	2	вы	549	ref:ds|str:pron|type:coref		
2	1	407999	1053	407998	557	5	вы - то	557,559,560	ref:ds|str:pron|type:coref	вы	557
2	1	408000	1053	407999	579	1	Я	579	ref:ds|str:pron|type:coref		
2	1	408001	1053	408000	610	3	она	610	ref:def|str:pron|type:coref		
2	1	408002	1053	408000	738	3	Она	738	ref:def|str:pron|type:coref		
2	1	408003	1053	408002	790	3	Мне	790	ref:ds|str:pron|type:coref		
2	1	408121	1041	0	794	13	комнату новую	794,802	ref:def|str:noun|type:coref	комнату	794
2	1	408004	1053	408003	870	2	ее	870	ref:def|str:poss|type:coref		
2	1	408005	1052	407997	892	10	Дементьева	892	ref:def|str:noun|type:coref		
2	1	408006	1053	408004	913	2	вы	913	ref:ds|str:pron|type:coref		
2	1	408007	1053	408006	940	15	Елена Сергеевна	940,946	ref:ds|str:noun|type:coref	Елена Сергеевна	940,946
2	1	408008	1052	408005	966	2	он	966	ref:def|str:pron|type:coref		
2	1	408122	1041	408121	1010	7	комната	1010	ref:def|str:noun|type:coref		
2	1	408009	1052	408008	1071	1	я	1071	ref:ds|str:pron|type:coref		
2	1	408123	1040	0	1139	6	Соседи	1139	ref:def|str:noun|type:coref		
2	1	408124	1040	408123	1152	6	Соседи	1152	ref:def|str:noun|type:coref		
2	1	408010	1053	408007	1177	15	Елена Сергеевна	1177,1183	ref:def|str:noun|type:coref	Елена Сергеевна	1177,1183
2	1	408011	1053	408010	1207	1	я	1207	ref:ds|str:pron|type:coref		
2	1	408012	1053	408011	1256	3	Мои	1256	ref:ds|str:poss|type:coref		
2	1	408013	1040	408124	1256	10	Мои соседи	1256,1260	ref:def|str:noun|type:coref	соседи	1260
2	1	408014	1040	408013	1290	4	себя	1290	ref:def|str:refl|type:coref		
2	1	408015	1040	408014	1326	3	они	1326	ref:def|str:pron|type:coref		
2	1	408016	1040	408015	1355	3	Они	1355	ref:def|str:pron|type:coref		
2	1	408017	1053	408011	1388	3	мой	1388	ref:ds|str:poss|type:coref		
2	1	408018	1053	408017	1438	3	мне	1438	ref:ds|str:noun|type:coref		
2	1	408019	1040	408014	1498	2	их	1498	ref:def|str:poss|type:coref		
2	1	408020	1052	408009	1570	2	ты	1570	ref:ds|str:pron|type:coref		
2	1	408021	1052	408020	1573	7	мужчина	1573	ref:pred|str:noun|type:coref		
2	1	408022	1052	408020	1582	2	ты	1582	ref:ds|str:pron|type:coref		
2	1	408023	1053	408018	1680	1	Я	1680	ref:ds|str:pron|type:coref		
2	1	408024	1040	408019	1692	4	ними	1692	ref:def|str:pron|type:coref		
2	1	408025	1052	408020	1735	9	Дементьев	1735	ref:def|str:noun|type:coref		
2	1	408026	1052	408025	1756	4	него	1756	ref:def|str:pron|type:coref		
2	1	408027	1053	408023	1780	2	вы	1780	ref:ds|str:pron|type:coref		
2	1	408028	1053	408027	1828	2	вы	1828	ref:ds|str:pron|type:coref		
2	1	408029	1053	408028	1857	3	вас	1857	ref:ds|str:pron|type:coref		
2	1	408030	1052	408026	1876	1	я	1876	ref:ds|str:pron|type:coref		
2	1	408031	1052	408026	1888	1	Я	1888	ref:ds|str:pron|type:coref		
2	1	408032	1053	408029	1908	3	вам	1908	ref:ds|str:pron|type:coref		
2	1	408033	1053	408028	1935	15	Елена Сергеевна	1935,1941	ref:ds|str:noun|type:coref	Елена Сергеевна	1935,1941
2	1	408034	1052	408030	1986	3	мне	1986	ref:ds|str:pron|type:coref		
2	1	408035	1052	408034	2000	4	моей	2000	ref:ds|str:poss|type:coref		
2	1	408036	1053	408029	2099	5	ваших	2099	ref:ds|str:poss|type:coref		
2	1	408125	1040	408013	2099	17	ваших троглодитах	2099,2105	ref:def|str:noun|type:coref	троглодитах	2105
2	1	408037	1052	408035	2148	2	он	2148	ref:def|str:pron|type:coref		
2	1	408038	1051	0	2208	18	Мадам Мордатенкова	2208,2214	ref:def|str:noun|type:coref	Мадам Мордатенкова	2208,2214
2	1	408039	1051	408038	2289	3	ней	2289	ref:def|str:pron|type:coref		
2	1	408040	1050	0	2324	17	невысокий человек	2324,2334	ref:def|str:noun|type:coref	человек	2334
2	1	408131	1038	0	2357	35	нижней , влажной и отвисшей его губе	2357,2363,2365,2373,2375,2384,2388	ref:def|str:noun|type:coref	губе	2388
2	1	408041	1050	408040	2384	3	его	2384	ref:def|str:poss|type:coref		
2	1	408133	1037	0	2399	6	окурок	2399	ref:def|str:noun|type:coref		
2	1	408042	1051	408038	2412	2	Ты	2412	ref:ds|str:pron|type:coref		
2	1	408043	1053	408033	2424	8	Сергеева	2424	ref:ds|str:noun|type:coref		
2	1	408044	1050	408040	2451	17	человек в кепочке	2451,2459,2461	ref:def|str:noun|type:coref	человек	2451
2	1	408126	1051	408038	2490	40	шокированная всем его видом Мордатенкова	2490,2503,2508,2512,2518	ref:def|str:noun|type:coref	Мордатенкова	2518
2	1	408045	1050	408044	2508	3	его	2508	ref:def|str:poss|type:coref		
2	1	408046	1053	408043	2534	9	Сергеевой	2534	ref:ds|str:noun|type:coref		
2	1	408047	1050	408044	2598	7	кепочка	2598	ref:def|str:noun|type:coref		
2	1	408048	1049	0	2610	38	Оскорбленное достоинство Мордатенковой	2610,2623,2635	ref:def|str:noun|type:coref	достоинство Мордатенковой	2623,2635
2	1	408049	1049	408048	2758	5	мадам	2758	ref:def|str:noun|type:coref		
2	1	408050	1049	408049	2807	3	она	2807	ref:def|str:poss|type:coref		
2	1	408051	1053	408046	2830	15	Елены Сергеевны	2830,2836	ref:def|str:noun|type:coref	Елены Сергеевны	2830,2836
2	1	408052	1050	408047	2859	10	Незнакомец	2859	ref:def|str:noun|type:coref		
2	1	408053	1050	408052	2922	3	его	2922	ref:def|str:poss|type:coref		
2	1	408056	1053	408051	2938	12	учительницей	2938	ref:def|str:noun|type:coref		
2	1	408054	1049	408050	2985	12	Мордатенкова	2985	ref:def|str:noun|type:coref		
2	1	408055	1049	408054	3022	4	себе	3022	ref:def|str:refl|type:coref		
2	1	408057	1050	408053	3049	20	развязного пришельца	3049,3060	ref:def|str:noun|type:coref	пришельца	3060
2	1	408058	1053	408051	3088	2	вы	3088	ref:ds|str:pron|type:coref		
2	1	408059	1053	408051	3162	15	Елены Сергеевны	3162,3168	ref:def|str:noun|type:coref	Елены Сергеевны	3162,3168
2	1	408060	1053	408059	3181	1	Я	3181	ref:ds|str:pron|type:coref		
2	1	408061	1050	408053	3193	6	мою - то	3193,3196,3197	ref:ds|str:poss|type:coref	мою	3193
2	1	408087	1045	0	3240	6	Нюркой	3240	ref:def|str:noun|type:coref		
2	1	408088	1045	408087	3248	10	женой моей	3248,3254	ref:def|str:appo|type:coref	женой	3248
2	1	408062	1050	408061	3254	4	моей	3254	ref:ds|str:poss|type:coref		
2	1	408063	1050	408062	3308	1	я	3308	ref:ds|str:pron|type:coref		
2	1	408064	1053	408059	3310	2	те	3310	ref:ds|str:pron|type:coref		
2	1	408065	1050	408063	3324	1	Я	3324	ref:ds|str:pron|type:coref		
2	1	408066	1053	408064	3326	2	те	3326	ref:ds|str:pron|type:coref		
2	1	408067	1050	408065	3337	1	я	3337	ref:ds|str:pron|type:coref		
2	1	408068	1053	408066	3371	4	Сама	3371	ref:ds|str:refl|type:coref		
2	1	408069	1050	408065	3386	4	мине	3386	ref:ds|str:pron|type:coref		
2	1	408070	1050	408063	3508	3	мне	3508	ref:ds|str:pron|type:coref		
2	1	408071	1048	0	3512	5	метры	3512	ref:def|str:noun|type:anaph		
2	1	408072	1048	408071	3530	3	они	3530	ref:def|str:pron|type:anaph		
2	1	408127	1048	408072	3543	5	Метры	3543			
2	1	408073	1053	408064	3568	1	я	3568	ref:ds|str:pron|type:coref		
2	1	408074	1053	408073	3604	15	Елены Сергеевны	3604,3610	ref:def|str:noun|type:coref	Елены Сергеевны	3604,3610
2	1	408075	1050	408070	3634	3	мне	3634	ref:ds|str:pron|type:coref		
2	1	408077	1047	0	3638	5	метры	3638	ref:def|str:noun|type:anaph		
2	1	408078	1047	408077	3652	3	они	3652	ref:def|str:pron|type:anaph		
2	1	408076	1050	408075	3662	3	мне	3662	ref:ds|str:pron|type:coref		
2	1	408079	1053	408074	3698	8	Сергеева	3698	ref:ds|str:noun|type:coref		
2	1	408081	1046	0	3751	14	старшой - то мой	3751,3758,3759,3762	ref:def|str:appo|type:coref	старшой	3751
2	1	408080	1050	408076	3762	3	мой	3762	ref:ds|str:poss|type:coref		
2	1	408082	1046	408081	3767	12	Альбертик - то	3767,3776,3777	ref:def|str:noun|type:coref	Альбертик	3767
2	1	408083	1046	408081	3818	2	он	3818	ref:def|str:pron|type:coref		
2	1	408089	1044	408090	3952	9	Шульженко	3952	ref:def|str:noun|type:coref		
2	1	408090	1044	0	4071	9	Шульженко	4071	ref:def|str:noun|type:coref		
2	1	408084	1046	408081	4096	14	Альбертиком - то	4096,4107,4108	ref:def|str:noun|type:coref	Альбертиком	4096
2	1	408085	1050	408080	4206	1	я	4206	ref:ds|str:pron|type:coref		
2	1	408086	1053	408079	4208	2	те	4208	ref:ds|str:pron|type:coref		
2	1	408120	1050	408085	4315	15	голос в кепочке	4315,4321,4323	ref:def|str:noun|type:coref	голос	4315
2	1	408091	1043	0	4360	6	Витька	4360	ref:def|str:noun|type:coref		
2	1	408092	1043	408091	4368	11	Младший мой	4368,4376	ref:def|str:appo|type:coref	Младший	4368
2	1	408093	1050	408080	4376	3	мой	4376	ref:ds|str:poss|type:coref		
2	1	408094	1043	408091	4381	3	Ему	4381	ref:def|str:pron|type:coref		
2	1	408097	1043	408094	4405	5	малый	4405	ref:pred|str:noun|type:coref		
2	1	408095	1050	408093	4412	1	я	4412	ref:ds|str:pron|type:coref		
2	1	408096	1053	408086	4414	2	те	4414	ref:ds|str:pron|type:coref		
2	1	408098	1043	408097	4425	6	Умница	4425	ref:pred|str:noun|type:coref		
2	1	408099	1043	408098	4433	5	Игрун	4433	ref:pred|str:noun|type:coref		
2	1	408100	1043	408099	4440	3	Ему	4440	ref:def|str:pron|type:coref		
2	1	408101	1043	408100	4477	2	Он	4477	ref:def|str:pron|type:coref		
2	1	408102	1043	408101	4583	3	Ему	4583	ref:def|str:pron|type:coref		
2	1	408103	1043	408102	4602	3	Ему	4602	ref:def|str:pron|type:coref		
2	1	408104	1050	408085	4675	1	я	4675	ref:ds|str:pron|type:coref		
2	1	408105	1043	408101	4691	3	ему	4691	ref:def|str:pron|type:coref		
2	1	408106	1050	408104	4750	4	меня	4750	ref:ds|str:pron|type:coref		
2	1	408107	1050	408106	4797	1	я	4797	ref:ds|str:pron|type:coref		
2	1	408109	1049	408054	4872	12	Мордатенкова	4872	ref:def|str:noun|type:coref		
2	1	408108	1050	408107	4899	2	он	4899	ref:def|str:pron|type:coref		
2	1	408129	1039	0	4913	7	коридор	4913	ref:def|str:noun|type:coref		
2	1	408110	1049	408109	4945	3	она	4945	ref:def|str:pron|type:coref		
2	1	408111	1049	408110	4951	4	свою	4951	ref:def|str:refl|type:coref		
2	1	408112	1049	408111	4985	2	ее	4985	ref:def|str:poss|type:coref		
2	1	408113	1042	0	4985	9	ее супруг	4985,4988	ref:def|str:noun|type:coref	супруг	4988
2	1	408114	1042	408113	5038	7	Харитон	5038	ref:ds|str:noun|type:coref		
2	1	408115	1049	408109	5061	5	мадам	5061	ref:def|str:noun|type:coref		
2	1	408119	1050	408106	5074	15	бандит какой - то	5074,5081,5086,5087	ref:def|str:noun|type:coref	бандит	5074
2	1	408128	1053	408086	5114	8	соседкой	5114	ref:def|str:noun|type:coref		
2	1	408116	1042	408114	5187	11	Мордатенков	5187	ref:def|str:noun|type:coref		
2	1	408130	1039	408129	5216	7	коридор	5216	ref:def|str:noun|type:coref		
2	1	408117	1042	408116	5244	3	его	5244	ref:def|str:pron|type:coref		
2	1	408118	1050	408106	5271	17	мужчина в кепочке	5271,5279,5281	ref:def|str:noun|type:coref	мужчина	5271
2	1	408132	1038	408131	5304	4	губе	5304	ref:def|str:noun|type:coref		
2	1	408134	1037	408133	5309	7	окурком	5309	ref:def|str:noun|type:coref		
3	1	408190	1027	0	52	24	старом деревенском доме	52,59,72	ref:def|str:noun|type:coref	доме	72
3	1	408135	1036	0	87	23	кривоногая такса Фунтик	87,98,104	ref:def|str:noun|type:coref	такса Фунтик	98,104
3	1	408136	1036	408135	112	7	Фунтика	112	ref:def|str:noun|type:coref		
3	1	408137	1035	0	154	17	черный кот Степан	154,161,165	ref:def|str:noun|type:coref	кот Степан	161,165
3	1	408138	1035	408137	228	2	Он	228	ref:def|str:pron|type:coref		
3	1	408140	1034	0	237	21	растопыренную пятерню	237,251	ref:def|str:noun|type:coref	пятерню	251
3	1	408141	1034	408140	300	17	обслюненной лапой	300,312	ref:def|str:noun|type:coref	лапой	312
3	1	408139	1035	408138	320	4	себя	320	ref:def|str:refl|type:coref		
3	1	408145	1033	0	328	4	ухом	328	ref:def|str:noun|type:coref		
3	1	408142	1035	408139	344	6	Степан	344	ref:def|str:noun|type:coref		
3	1	408143	1035	408142	392	2	Он	392	ref:def|str:pron|type:coref		
3	1	408144	1034	408141	416	5	лапой	416	ref:def|str:noun|type:coref		
3	1	408146	1033	408145	438	3	ухо	438	ref:def|str:noun|type:coref		
3	1	408147	1035	408143	449	7	Степана	449	ref:def|str:noun|type:coref		
3	1	408148	1036	408136	477	19	Маленький рыжий пес	477,487,493	ref:def|str:noun|type:coref	пес	493
3	1	408155	1032	0	510	15	Одно ухо у него	510,515,519,521	ref:def|str:noun|type:coref	ухо	515
3	1	408149	1036	408148	521	4	него	521	ref:def|str:pron|type:coref		
3	1	408150	1036	408149	563	3	пес	563	ref:def|str:noun|type:coref		
3	1	408151	1035	408147	592	7	Степану	592	ref:def|str:noun|type:coref		
3	1	408152	1035	408151	618	23	этого загадочного зверя	618,624,636	ref:def|str:noun|type:coref	зверя	636
3	1	408153	1035	408152	670	6	Степан	670	ref:def|str:noun|type:coref		
3	1	408154	1036	408150	697	7	Фунтика	697	ref:def|str:noun|type:coref		
3	1	408156	1032	408155	708	15	вывернутому уху	708,720	ref:def|str:noun|type:coref	уху	720
